株式会社ニシムタ,ホームセンター／スーパー・ストア／その他専門店・小売,鹿児島,https://job.rikunabi.com/2016/company/top/r237810072/
株式会社アルファイン,エステ・理容・美容,鹿児島,https://job.rikunabi.com/2016/company/top/r435900091/
株式会社さかうえ,農林／食品／専門コンサルタント,鹿児島,https://job.rikunabi.com/2016/company/top/r500561020/
鹿児島興業信用組合,信用金庫・信用組合・労働金庫,鹿児島,https://job.rikunabi.com/2016/company/top/r676630088/
薩摩酒造株式会社,食品／農林／商社（食料品）／レストラン・フード／不動産,鹿児島,https://job.rikunabi.com/2016/company/top/r355230001/
株式会社　南光,金属製品／機械設計／その他製造／機械／プラント・エンジニアリング,鹿児島,https://job.rikunabi.com/2016/company/top/r675261059/
株式会社共栄,商社（石油製品）／商社（食料品）／商社（化学製品）／商社（機械）,鹿児島,https://job.rikunabi.com/2016/company/top/r332430071/
株式会社スズキ自販鹿児島,商社（自動車・輸送機器）／自動車／専門店（自動車関連）／その他商社／損害保険,鹿児島,https://job.rikunabi.com/2016/company/top/r721310007/
鹿児島医療生活協同組合,医療関連／生活協同組合,鹿児島,https://job.rikunabi.com/2016/company/top/r579900069/
鹿児島県農業協同組合連合会,団体・連合会／農林,鹿児島,https://job.rikunabi.com/2016/company/top/r478010043/
株式会社トータルハウジング,住宅／不動産,鹿児島,https://job.rikunabi.com/2016/company/top/r798310041/
JA鹿児島県経済連グループ,食品／住宅／スーパー・ストア／陸運（貨物）／農林,鹿児島,https://job.rikunabi.com/2016/company/top/r653811042/
株式会社渡辺組,建設／建築設計,鹿児島,https://job.rikunabi.com/2016/company/top/r639611043/
セイカ食品株式会社,食品／商社（食料品）,鹿児島,https://job.rikunabi.com/2016/company/top/r672400058/
株式会社シンケン,建設／住宅／不動産,鹿児島,https://job.rikunabi.com/2016/company/top/r714520035/
協業組合ユニカラー,印刷関連,鹿児島,https://job.rikunabi.com/2016/company/top/r722701057/
